name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
WirbelJ_2018	0.77	0.73	0.81	0.77	0.43	0.69	0.63	0.67	0.69	0.16	0.75	0.72	0.74	0.75	0.35	0.73	0.73	0.73	0.73	0.37					
VatanenT_2016	0.8	0.8	0.81	0.8	0.59	0.8	0.8	0.8	0.8	0.57	0.81	0.81	0.81	0.81	0.6	0.85	0.85	0.85	0.85	0.68	0.85	0.85	0.85	0.85	0.69
FerrettiP_2018	0.88	0.88	0.88	0.88	0.75	0.77	0.77	0.77	0.77	0.51	0.82	0.82	0.84	0.82	0.64	0.84	0.83	0.86	0.84	0.67	0.91	0.91	0.92	0.91	0.82
YuJ_2015	0.49	0.47	0.47	0.49	-0.13	0.63	0.49	0.4	0.63	0	0.66	0.63	0.69	0.66	0.27	0.63	0.49	0.4	0.63	0	0.67	0.67	0.67	0.67	0.3
ZellerG_2014	0.63	0.62	0.64	0.63	0.25	0.59	0.43	0.34	0.59	0	0.63	0.62	0.63	0.63	0.22	0.59	0.43	0.34	0.59	0	0.66	0.65	0.66	0.66	0.3
VogtmannE_2016	0.78	0.77	0.8	0.78	0.55	0.62	0.48	0.39	0.62	0	0.7	0.69	0.74	0.7	0.39	0.66	0.63	0.68	0.66	0.25	0.8	0.8	0.8	0.8	0.57
LeeKA_2022	0.65	0.64	0.66	0.65	0.3	0.62	0.61	0.63	0.62	0.24	0.61	0.59	0.66	0.61	0.26	0.61	0.6	0.62	0.61	0.23	0.64	0.64	0.65	0.64	0.28
FengQ_2015	0.64	0.63	0.65	0.64	0.25	0.69	0.65	0.74	0.69	0.35	0.54	0.54	0.57	0.54	0.09	0.69	0.67	0.7	0.69	0.34	0.64	0.63	0.64	0.64	0.24
YassourM_2018	0.97	0.97	0.98	0.97	0.95	0.97	0.97	0.97	0.97	0.95	0.95	0.95	0.95	0.95	0.9	0.97	0.97	0.98	0.97	0.95	0.98	0.98	0.98	0.98	0.96
YachidaS_2019	0.6	0.59	0.59	0.6	0.17	0.68	0.67	0.68	0.68	0.34	0.65	0.64	0.65	0.65	0.27	0.68	0.68	0.68	0.68	0.35	0.68	0.68	0.69	0.68	0.36
