name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
2021-03-31.GhensiP_2019.relative_abundance.ever_smoker.tsv	0.75	0.76	0.77	0.75	0.46	0.68	0.56	0.47	0.68	0.00	0.71	0.63	0.60	0.71	0.15	0.71	0.69	0.72	0.71	0.30	0.78	0.78	0.79	0.78	0.50
2021-10-14.JieZ_2017.relative_abundance.gender.tsv	0.59	0.59	0.60	0.59	0.16	0.59	0.44	0.35	0.59	0.00	0.62	0.61	0.62	0.62	0.21	0.67	0.66	0.67	0.67	0.31	0.63	0.64	0.65	0.63	0.27
2021-03-31.NielsenHB_2014.relative_abundance.study_condition.tsv	0.79	0.79	0.79	0.79	0.55	0.73	0.73	0.73	0.73	0.43	0.81	0.80	0.81	0.81	0.59	0.83	0.83	0.83	0.83	0.64	0.87	0.87	0.87	0.87	0.73
2021-03-31.CosteaPI_2017.relative_abundance.gender.tsv	0.70	0.70	0.71	0.70	0.40	0.61	0.62	0.62	0.61	0.22	0.69	0.68	0.69	0.69	0.36	0.67	0.66	0.67	0.67	0.32	0.63	0.64	0.64	0.63	0.26
2021-10-14.CosteaPI_2017.relative_abundance.country.tsv	0.92	0.92	0.92	0.92	0.83	0.84	0.84	0.85	0.84	0.67	0.91	0.91	0.92	0.91	0.82	0.89	0.89	0.90	0.89	0.78	0.94	0.94	0.94	0.94	0.87
2021-03-31.NielsenHB_2014.relative_abundance.country.tsv	0.87	0.87	0.88	0.87	0.75	0.79	0.79	0.79	0.79	0.57	0.85	0.85	0.86	0.85	0.70	0.88	0.89	0.89	0.88	0.77	0.90	0.90	0.91	0.90	0.81
2021-03-31.ZhuF_2020.relative_abundance.study_condition.tsv	0.61	0.60	0.61	0.61	0.22	0.60	0.59	0.60	0.60	0.20	0.72	0.71	0.72	0.72	0.43	0.72	0.72	0.74	0.72	0.46	0.67	0.66	0.67	0.67	0.33
2021-03-31.BritoIL_2016.relative_abundance.body_site.tsv	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	1.00	1.00	1.00	1.00	1.00
2021-03-31.VatanenT_2016.relative_abundance.gender.tsv	0.60	0.60	0.60	0.60	0.18	0.59	0.58	0.59	0.59	0.16	0.58	0.58	0.59	0.58	0.17	0.57	0.57	0.58	0.57	0.14	0.61	0.61	0.61	0.61	0.21
2021-03-31.RubelMA_2020.relative_abundance.gender.tsv	0.67	0.66	0.69	0.67	0.35	0.59	0.58	0.59	0.59	0.17	0.71	0.71	0.72	0.71	0.42	0.66	0.66	0.68	0.66	0.34	0.68	0.68	0.70	0.68	0.38
2021-03-31.VogtmannE_2016.relative_abundance.study_condition.tsv	0.56	0.55	0.56	0.56	0.13	0.53	0.49	0.52	0.53	0.05	0.51	0.50	0.53	0.51	0.04	0.63	0.60	0.68	0.63	0.30	0.69	0.69	0.70	0.69	0.39
