name,Accuracy,F1,Prec.,Recall,MCC
2021-03-31.BackhedF_2015.relative_abundance.gender.tsv,0.6964,0.694,0.6925,0.6964,0.2592
2021-03-31.BritoIL_2016.relative_abundance.body_site.tsv,1.0,1.0,1.0,1.0,1.0
2021-03-31.BritoIL_2016.relative_abundance.gender.tsv,0.6701,0.6678,0.6721,0.6701,0.3365
2021-03-31.BrooksB_2017.relative_abundance.born_method.tsv,0.8724,0.8703,0.8764,0.8724,0.7018
2021-03-31.BrooksB_2017.relative_abundance.gender.tsv,0.7909,0.7855,0.7941,0.7909,0.5609
2021-03-31.ChengpingW_2017.relative_abundance.gender.tsv,0.5782,0.5707,0.5766,0.5782,0.1447
2021-03-31.ChengpingW_2017.relative_abundance.treatment.tsv,0.6364,0.6231,0.6446,0.6364,0.2759
2021-03-31.ChngKR_2016.relative_abundance.alcohol.tsv,0.8127,0.802,0.8664,0.8127,0.672
2021-03-31.ChngKR_2016.relative_abundance.gender.tsv,0.7745,0.7653,0.8249,0.7745,0.5995
2021-03-31.ChngKR_2016.relative_abundance.study_condition.tsv,0.8909,0.8867,0.9147,0.8909,0.8006
2021-03-31.CosteaPI_2017.relative_abundance.country.tsv,0.9333,0.9328,0.9386,0.9333,0.8643
2021-03-31.CosteaPI_2017.relative_abundance.gender.tsv,0.696,0.6957,0.7085,0.696,0.3955
2021-03-31.DavidLA_2015.relative_abundance.age_category.tsv,0.6571,0.6325,0.7189,0.6571,0.3065
2021-03-31.DavidLA_2015.relative_abundance.body_subsite.tsv,0.9714,0.9702,0.9771,0.9714,0.9461
2021-03-31.DeFilippisF_2019.relative_abundance.gender.tsv,0.7923,0.7922,0.7959,0.7923,0.5875
2021-03-31.DhakanDB_2019.relative_abundance.gender.tsv,0.5567,0.5473,0.5637,0.5567,0.1173
2021-03-31.DhakanDB_2019.relative_abundance.location.tsv,0.7017,0.6901,0.7443,0.7017,0.4436
2021-03-31.FengQ_2015.relative_abundance.age_category.tsv,0.6359,0.6293,0.648,0.6359,0.2518
2021-03-31.FengQ_2015.relative_abundance.disease_subtype.tsv,0.5231,0.5092,0.5618,0.5231,0.0827
2021-03-31.FengQ_2015.relative_abundance.gender.tsv,0.5987,0.5936,0.6019,0.5987,0.1888
2021-03-31.FerrettiP_2018.relative_abundance.age_category.tsv,0.8791,0.8788,0.884,0.8791,0.748
2021-03-31.FerrettiP_2018.relative_abundance.family_role.tsv,0.9062,0.9066,0.9079,0.9062,0.8023
2021-03-31.GhensiP_2019.relative_abundance.dental_sample_type.tsv,0.6708,0.6594,0.6645,0.6708,0.2013
2021-03-31.GhensiP_2019.relative_abundance.ever_smoker.tsv,0.7483,0.7552,0.7728,0.7483,0.4608
2021-03-31.GhensiP_2019.relative_abundance.history_of_periodontitis.tsv,0.6314,0.6312,0.6444,0.6314,0.2579
2021-03-31.GuptaA_2019.relative_abundance.gender.tsv,0.5722,0.558,0.6083,0.5722,0.174
2021-03-31.GuptaA_2019.relative_abundance.location.tsv,0.8833,0.8758,0.9122,0.8833,0.7552
2021-03-31.GuptaA_2019.relative_abundance.study_condition.tsv,0.9028,0.901,0.9081,0.9028,0.8098
2021-03-31.HMP_2012.relative_abundance.gender.tsv,0.6787,0.6782,0.6812,0.6787,0.3581
2021-03-31.HMP_2019_ibdmdb.relative_abundance.disease_subtype.tsv,0.8381,0.8369,0.8381,0.8381,0.6623
2021-03-31.HMP_2019_ibdmdb.relative_abundance.gender.tsv,0.8563,0.8562,0.8564,0.8563,0.7126
2021-03-31.HMP_2019_t2d.relative_abundance.gender.tsv,0.9659,0.9656,0.967,0.9659,0.9294
