name,Accuracy,F1,Prec.,Recall,MCC
2021-03-31.BackhedF_2015.relative_abundance.gender.tsv,0.7479,0.6894,0.7611,0.7479,0.3075
2021-03-31.BritoIL_2016.relative_abundance.body_site.tsv,1.0,1.0,1.0,1.0,1.0
2021-03-31.BritoIL_2016.relative_abundance.gender.tsv,0.6611,0.6537,0.6633,0.6611,0.3149
2021-03-31.BrooksB_2017.relative_abundance.born_method.tsv,0.812,0.8104,0.8148,0.812,0.5606
2021-03-31.BrooksB_2017.relative_abundance.gender.tsv,0.8124,0.8071,0.8166,0.8124,0.6071
2021-03-31.ChengpingW_2017.relative_abundance.gender.tsv,0.7038,0.6965,0.7129,0.7038,0.4101
2021-03-31.ChengpingW_2017.relative_abundance.treatment.tsv,0.5455,0.5219,0.5629,0.5455,0.0957
2021-03-31.ChngKR_2016.relative_abundance.alcohol.tsv,0.6655,0.6406,0.736,0.6655,0.3828
2021-03-31.ChngKR_2016.relative_abundance.gender.tsv,0.6655,0.6603,0.6904,0.6655,0.3571
2021-03-31.ChngKR_2016.relative_abundance.study_condition.tsv,0.7782,0.775,0.8011,0.7782,0.5787
2021-03-31.CosteaPI_2017.relative_abundance.country.tsv,0.9333,0.933,0.9346,0.9333,0.86
2021-03-31.CosteaPI_2017.relative_abundance.gender.tsv,0.6894,0.6797,0.6896,0.6894,0.3589
2021-03-31.DavidLA_2015.relative_abundance.age_category.tsv,0.7286,0.7041,0.6971,0.7286,0.2732
2021-03-31.DavidLA_2015.relative_abundance.body_subsite.tsv,0.9143,0.9143,0.9214,0.9143,0.8333
2021-03-31.DeFilippisF_2019.relative_abundance.gender.tsv,0.7319,0.7296,0.7554,0.7319,0.4868
2021-03-31.DhakanDB_2019.relative_abundance.gender.tsv,0.5967,0.5891,0.5937,0.5967,0.1859
2021-03-31.DhakanDB_2019.relative_abundance.location.tsv,0.6883,0.6828,0.7004,0.6883,0.3848
2021-03-31.FengQ_2015.relative_abundance.age_category.tsv,0.542,0.5388,0.5705,0.542,0.0908
2021-03-31.FengQ_2015.relative_abundance.disease_subtype.tsv,0.5385,0.5333,0.5515,0.5385,0.0899
2021-03-31.FengQ_2015.relative_abundance.gender.tsv,0.6061,0.6038,0.6115,0.6061,0.2062
2021-03-31.FerrettiP_2018.relative_abundance.age_category.tsv,0.8195,0.82,0.8372,0.8195,0.6379
2021-03-31.FerrettiP_2018.relative_abundance.family_role.tsv,0.8722,0.8716,0.8742,0.8722,0.728
2021-03-31.GhensiP_2019.relative_abundance.dental_sample_type.tsv,0.7842,0.7405,0.7643,0.7842,0.4067
2021-03-31.GhensiP_2019.relative_abundance.ever_smoker.tsv,0.71,0.6305,0.5992,0.71,0.1521
2021-03-31.GhensiP_2019.relative_abundance.history_of_periodontitis.tsv,0.559,0.5414,0.5311,0.559,0.0548
2021-03-31.GuptaA_2019.relative_abundance.gender.tsv,0.5778,0.5446,0.5838,0.5778,0.1473
2021-03-31.GuptaA_2019.relative_abundance.location.tsv,0.7889,0.7875,0.7921,0.7889,0.5112
2021-03-31.GuptaA_2019.relative_abundance.study_condition.tsv,0.8306,0.8268,0.8522,0.8306,0.6804
2021-03-31.HMP_2012.relative_abundance.gender.tsv,0.6405,0.6385,0.6448,0.6405,0.2833
2021-03-31.HMP_2019_ibdmdb.relative_abundance.disease_subtype.tsv,0.7714,0.7721,0.7768,0.7714,0.5342
2021-03-31.HMP_2019_ibdmdb.relative_abundance.gender.tsv,0.7693,0.769,0.7708,0.7693,0.5401
2021-03-31.HMP_2019_t2d.relative_abundance.gender.tsv,0.9512,0.9511,0.9543,0.9512,0.9012
2021-03-31.HallAB_2017.relative_abundance.disease_subtype.tsv,0.8458,0.8444,0.8501,0.8458,0.693
2021-03-31.HallAB_2017.relative_abundance.location.tsv,0.9003,0.8975,0.909,0.9003,0.7834
2021-03-31.HanniganGD_2017.relative_abundance.country.tsv,0.7136,0.6848,0.716,0.7136,0.3271
2021-03-31.HanniganGD_2017.relative_abundance.gender.tsv,0.6424,0.6341,0.6501,0.6424,0.272
2021-03-31.HansenLBS_2018.relative_abundance.gender.tsv,0.8057,0.8025,0.8214,0.8057,0.6199
2021-03-31.HansenLBS_2018.relative_abundance.uncurated_metadata.tsv,0.597,0.595,0.5984,0.597,0.194
2021-03-31.IjazUZ_2017.relative_abundance.remission.tsv,0.9,0.8982,0.9289,0.9,0.8093
2021-03-31.IjazUZ_2017.relative_abundance.study_condition.tsv,0.9538,0.9538,0.9605,0.9538,0.913
