name	CosteaPI_2017	NielsenHB_2014	Obregon-TitoAJ_2015	CosteaPI_2017_2	PehrssonE_2016	PehrssonE_2016_2	HanniganGD_2017
Acc_LRC	0.92	0.87	0.97	0.93	0.96	0.96	0.7
F1_LRC	0.92	0.87	0.97	0.93	0.96	0.96	0.66
Prec_LRC	0.92	0.88	0.98	0.94	0.97	0.96	0.71
Recall_LRC	0.92	0.87	0.97	0.93	0.96	0.96	0.7
MCC_LRC	0.83	0.75	0.95	0.86	0.93	0.91	0.3
Acc_DTC	0.84	0.79	0.9	0.83	0.96	0.98	0.68
F1_DTC	0.84	0.79	0.9	0.83	0.96	0.98	0.67
Prec_DTC	0.85	0.79	0.92	0.84	0.97	0.99	0.67
Recall_DTC	0.84	0.79	0.9	0.83	0.96	0.98	0.68
MCC_DTC	0.67	0.57	0.81	0.66	0.92	0.97	0.27
Acc_SVC	0.91	0.85	0.95	0.93	0.95	0.98	0.71
F1_SVC	0.91	0.85	0.95	0.93	0.95	0.98	0.68
Prec_SVC	0.92	0.86	0.96	0.93	0.95	0.98	0.72
Recall_SVC	0.91	0.85	0.95	0.93	0.95	0.98	0.71
MCC_SVC	0.82	0.7	0.9	0.86	0.9	0.95	0.33
Acc_RFC	0.89	0.88	0.97	0.89	0.99	0.99	0.66
F1_RFC	0.89	0.89	0.98	0.89	0.98	0.98	0.64
Prec_RFC	0.9	0.89	0.98	0.9	0.99	0.99	0.63
Recall_RFC	0.89	0.88	0.97	0.89	0.99	0.99	0.66
MCC_RFC	0.78	0.77	0.95	0.78	0.97	0.97	0.17
Acc_HDC	0.94	0.9	0.97	0.95	0.97	0.99	0.7
F1_HDC	0.94	0.9	0.97	0.95	0.97	0.99	0.71
Prec_HDC	0.94	0.91	0.97	0.95	0.97	0.99	0.74
Recall_HDC	0.94	0.9	0.97	0.95	0.97	0.99	0.7
MCC_HDC	0.87	0.81	0.93	0.9	0.95	0.98	0.39
