name	LiJ_2014	ZhuF_2020	ThomasAM_2018a	HMP_2019_ibdmdb	HallAB_2017	KosticAD_2015	HallAB_2017_2	HMP_2019_ibdmdb_2	FengQ_2015
Acc_LRC	0.72	0.72	0.7	0.84	0.95	0.72	0.84	0.8	0.52
F1_LRC	0.72	0.72	0.69	0.84	0.95	0.71	0.84	0.8	0.51
Prec_LRC	0.74	0.76	0.73	0.84	0.95	0.74	0.84	0.8	0.56
Recall_LRC	0.72	0.72	0.7	0.84	0.95	0.72	0.84	0.8	0.52
MCC_LRC	0.46	0.48	0.43	0.66	0.89	0.46	0.68	0.59	0.08
Acc_DTC	0.67	0.55	0.59	0.78	0.83	0.66	0.84	0.78	0.62
F1_DTC	0.67	0.39	0.58	0.78	0.83	0.66	0.84	0.78	0.59
Prec_DTC	0.67	0.3	0.63	0.78	0.84	0.67	0.86	0.78	0.67
Recall_DTC	0.67	0.55	0.59	0.78	0.83	0.66	0.84	0.78	0.62
MCC_DTC	0.34	0.0	0.23	0.54	0.67	0.33	0.7	0.55	0.27
Acc_SVC	0.76	0.68	0.72	0.77	0.81	0.64	0.85	0.78	0.54
F1_SVC	0.76	0.66	0.71	0.77	0.81	0.61	0.84	0.78	0.53
Prec_SVC	0.77	0.71	0.76	0.78	0.83	0.69	0.85	0.78	0.55
Recall_SVC	0.76	0.68	0.72	0.77	0.81	0.64	0.85	0.78	0.54
MCC_SVC	0.53	0.37	0.48	0.53	0.64	0.33	0.69	0.54	0.09
Acc_RFC	0.77	0.55	0.62	0.89	0.95	0.87	0.95	0.9	0.74
F1_RFC	0.77	0.54	0.58	0.89	0.95	0.87	0.95	0.89	0.73
Prec_RFC	0.79	0.55	0.72	0.89	0.96	0.89	0.96	0.9	0.79
Recall_RFC	0.77	0.55	0.62	0.89	0.95	0.87	0.95	0.9	0.74
MCC_RFC	0.57	0.08	0.32	0.77	0.91	0.76	0.91	0.78	0.53
Acc_HDC	0.77	0.79	0.75	0.77	0.92	0.81	0.89	0.75	0.74
F1_HDC	0.77	0.78	0.74	0.77	0.92	0.81	0.89	0.75	0.74
Prec_HDC	0.77	0.8	0.77	0.78	0.92	0.82	0.9	0.76	0.76
Recall_HDC	0.77	0.79	0.75	0.77	0.92	0.81	0.89	0.75	0.74
MCC_HDC	0.54	0.58	0.52	0.54	0.85	0.63	0.79	0.51	0.5
