name	TettAJ_2019_c	FerrettiP_2018	YassourM_2018
Acc_LRC	0.69	0.91	0.98
F1_LRC	0.68	0.91	0.98
Prec_LRC	0.7	0.91	0.98
Recall_LRC	0.69	0.91	0.98
MCC_LRC	0.36	0.8	0.97
Acc_DTC	0.77	0.81	0.98
F1_DTC	0.77	0.8	0.98
Prec_DTC	0.78	0.82	0.98
Recall_DTC	0.77	0.81	0.98
MCC_DTC	0.55	0.59	0.96
Acc_SVC	0.8	0.87	0.98
F1_SVC	0.79	0.87	0.98
Prec_SVC	0.8	0.87	0.98
Recall_SVC	0.8	0.87	0.98
MCC_SVC	0.59	0.73	0.97
Acc_RFC	0.8	0.87	0.98
F1_RFC	0.78	0.86	0.98
Prec_RFC	0.79	0.88	0.98
Recall_RFC	0.8	0.87	0.98
MCC_RFC	0.58	0.71	0.96
Acc_HDC	0.76	0.89	0.98
F1_HDC	0.75	0.89	0.98
Prec_HDC	0.79	0.9	0.98
Recall_HDC	0.76	0.89	0.98
MCC_HDC	0.54	0.78	0.96
