name	WampachL_2018	ShaoY_2019	BrooksB_2017	BrooksB_2017_2
Acc_LRC	0.93	0.75	0.87	0.87
F1_LRC	0.93	0.75	0.87	0.87
Prec_LRC	0.95	0.76	0.88	0.87
Recall_LRC	0.93	0.75	0.87	0.87
MCC_LRC	0.88	0.51	0.7	0.7
Acc_DTC	0.75	0.72	0.82	0.8
F1_DTC	0.72	0.72	0.81	0.79
Prec_DTC	0.71	0.73	0.83	0.83
Recall_DTC	0.75	0.72	0.82	0.8
MCC_DTC	0.47	0.45	0.57	0.55
Acc_SVC	0.97	0.75	0.81	0.8
F1_SVC	0.97	0.75	0.81	0.8
Prec_SVC	0.97	0.76	0.81	0.8
Recall_SVC	0.97	0.75	0.81	0.8
MCC_SVC	0.94	0.51	0.56	0.54
Acc_RFC	0.9	0.77	0.85	0.86
F1_RFC	0.9	0.77	0.85	0.86
Prec_RFC	0.9	0.77	0.86	0.88
Recall_RFC	0.9	0.77	0.85	0.86
MCC_RFC	0.8	0.53	0.66	0.7
Acc_HDC	0.87	0.76	0.8	0.82
F1_HDC	0.87	0.76	0.78	0.81
Prec_HDC	0.92	0.76	0.81	0.83
Recall_HDC	0.87	0.76	0.8	0.82
MCC_HDC	0.79	0.52	0.51	0.58
