name	GhensiP_2019	XieH_2016	KeohaneDM_2020
Acc_LRC	0.75	0.58	0.54
F1_LRC	0.76	0.57	0.53
Prec_LRC	0.77	0.57	0.55
Recall_LRC	0.75	0.58	0.54
MCC_LRC	0.46	0.1	0.09
Acc_DTC	0.68	0.61	0.54
F1_DTC	0.56	0.47	0.51
Prec_DTC	0.47	0.38	0.55
Recall_DTC	0.68	0.61	0.54
MCC_DTC	0.0	0.0	0.09
Acc_SVC	0.71	0.63	0.58
F1_SVC	0.63	0.51	0.57
Prec_SVC	0.6	0.45	0.6
Recall_SVC	0.71	0.63	0.58
MCC_SVC	0.15	0.04	0.17
Acc_RFC	0.71	0.61	0.52
F1_RFC	0.69	0.47	0.35
Prec_RFC	0.72	0.38	0.27
Recall_RFC	0.71	0.61	0.52
MCC_RFC	0.3	0.0	0.0
Acc_HDC	0.78	0.66	0.71
F1_HDC	0.78	0.66	0.71
Prec_HDC	0.79	0.68	0.71
Recall_HDC	0.78	0.66	0.71
MCC_HDC	0.5	0.32	0.42
