name	TettAJ_2016	KieserS_2018	GuptaA_2019	HallAB_2017	PehrssonE_2016	HallAB_2017_2	DhakanDB_2019	PehrssonE_2016_2	KieserS_2018_2
Acc_LRC	0.75	0.9	0.88	0.93	0.96	0.94	0.7	0.96	0.9
F1_LRC	0.69	0.9	0.88	0.93	0.96	0.94	0.69	0.96	0.9
Prec_LRC	0.76	0.97	0.91	0.93	0.96	0.94	0.74	0.97	0.97
Recall_LRC	0.75	0.9	0.88	0.93	0.96	0.94	0.7	0.96	0.9
MCC_LRC	0.39	0.87	0.76	0.84	0.91	0.87	0.44	0.93	0.87
Acc_DTC	0.65	0.93	0.79	0.89	0.96	0.88	0.72	0.98	0.93
F1_DTC	0.52	0.91	0.77	0.89	0.96	0.88	0.72	0.98	0.91
Prec_DTC	0.43	0.89	0.83	0.9	0.97	0.89	0.74	0.99	0.89
Recall_DTC	0.65	0.93	0.79	0.89	0.96	0.88	0.72	0.98	0.93
MCC_DTC	0.0	0.8	0.53	0.78	0.92	0.75	0.46	0.97	0.8
Acc_SVC	0.71	0.83	0.79	0.9	0.95	0.91	0.69	0.98	0.83
F1_SVC	0.68	0.79	0.79	0.9	0.95	0.91	0.68	0.98	0.79
Prec_SVC	0.74	0.78	0.79	0.91	0.95	0.92	0.7	0.98	0.78
Recall_SVC	0.71	0.83	0.79	0.9	0.95	0.91	0.69	0.98	0.83
MCC_SVC	0.34	0.52	0.51	0.78	0.9	0.81	0.38	0.95	0.52
Acc_RFC	0.75	0.93	0.86	0.96	0.99	0.96	0.73	0.97	0.93
F1_RFC	0.76	0.91	0.85	0.96	0.98	0.96	0.72	0.97	0.91
Prec_RFC	0.78	0.89	0.91	0.96	0.99	0.96	0.74	0.97	0.89
Recall_RFC	0.75	0.93	0.86	0.96	0.99	0.96	0.73	0.97	0.93
MCC_RFC	0.51	0.8	0.72	0.9	0.97	0.9	0.47	0.94	0.8
Acc_HDC	0.75	0.97	0.9	0.95	0.97	0.96	0.69	0.98	0.89
F1_HDC	0.74	0.96	0.89	0.95	0.97	0.96	0.69	0.98	0.89
Prec_HDC	0.75	0.97	0.91	0.95	0.97	0.96	0.7	0.98	0.93
Recall_HDC	0.75	0.97	0.9	0.95	0.97	0.96	0.69	0.98	0.89
MCC_HDC	0.43	0.93	0.78	0.88	0.95	0.91	0.4	0.97	0.79
