name	IjazUZ_2017	NielsenHB_2014	ZhuF_2020	ShiB_2015	VogtmannE_2016	QinJ_2012	YeZ_2018	JieZ_2017	YuJ_2015	GuptaA_2019	ThomasAM_2018b	QinN_2014	RubelMA_2020	KieserS_2018	JieZ_2017_2	WirbelJ_2018	ChngKR_2016	RubelMA_2020_2	KieserS_2018_2	NagySzakalD_2017	ShiB_2015_2	TettAJ_2016	NagySzakalD_2017_2	ThomasAM_2019_c	IjazUZ_2017_2	QinJ_2012_2
Acc_LRC	0.94	0.79	0.61	0.91	0.56	0.65	0.71	0.66	0.7	0.9	0.84	0.75	0.76	0.9	0.68	0.67	0.89	0.79	0.9	0.69	0.91	0.69	0.67	0.61	0.97	0.64
F1_LRC	0.94	0.79	0.6	0.91	0.55	0.65	0.66	0.66	0.7	0.9	0.83	0.75	0.75	0.9	0.68	0.67	0.89	0.79	0.9	0.68	0.91	0.68	0.67	0.6	0.97	0.64
Prec_LRC	0.95	0.79	0.61	0.93	0.56	0.65	0.67	0.66	0.71	0.91	0.88	0.77	0.76	0.97	0.69	0.67	0.91	0.79	0.97	0.7	0.94	0.68	0.69	0.61	0.97	0.64
Recall_LRC	0.94	0.79	0.61	0.91	0.56	0.65	0.71	0.66	0.7	0.9	0.84	0.75	0.76	0.9	0.68	0.67	0.89	0.79	0.9	0.69	0.91	0.69	0.67	0.61	0.97	0.64
MCC_LRC	0.88	0.55	0.22	0.84	0.13	0.31	0.27	0.31	0.4	0.81	0.72	0.52	0.51	0.87	0.37	0.34	0.8	0.58	0.87	0.38	0.86	0.35	0.36	0.21	0.94	0.28
Acc_DTC	0.83	0.73	0.6	0.82	0.53	0.6	0.87	0.67	0.69	0.78	0.74	0.83	0.8	0.93	0.67	0.78	0.59	0.8	0.93	0.71	0.79	0.69	0.73	0.7	0.83	0.66
F1_DTC	0.83	0.73	0.59	0.81	0.49	0.59	0.85	0.67	0.68	0.78	0.72	0.83	0.79	0.91	0.67	0.77	0.58	0.79	0.91	0.71	0.78	0.69	0.71	0.68	0.83	0.66
Prec_DTC	0.85	0.73	0.6	0.87	0.52	0.6	0.9	0.67	0.74	0.81	0.84	0.85	0.8	0.89	0.67	0.85	0.6	0.82	0.89	0.72	0.85	0.7	0.78	0.77	0.86	0.66
Recall_DTC	0.83	0.73	0.6	0.82	0.53	0.6	0.87	0.67	0.69	0.78	0.74	0.83	0.8	0.93	0.67	0.78	0.59	0.8	0.93	0.71	0.79	0.69	0.73	0.7	0.83	0.66
MCC_DTC	0.67	0.43	0.2	0.68	0.05	0.2	0.71	0.33	0.42	0.59	0.58	0.68	0.6	0.8	0.33	0.63	0.18	0.61	0.8	0.43	0.63	0.38	0.5	0.46	0.68	0.33
Acc_SVC	0.95	0.81	0.72	0.86	0.51	0.69	0.78	0.68	0.72	0.83	0.64	0.76	0.74	0.83	0.68	0.68	0.78	0.75	0.83	0.7	0.88	0.71	0.69	0.73	0.95	0.7
F1_SVC	0.95	0.8	0.71	0.86	0.5	0.69	0.76	0.68	0.72	0.83	0.63	0.76	0.74	0.79	0.68	0.68	0.78	0.75	0.79	0.69	0.88	0.71	0.68	0.73	0.95	0.7
Prec_SVC	0.96	0.81	0.72	0.86	0.53	0.69	0.79	0.68	0.73	0.85	0.67	0.79	0.75	0.78	0.69	0.69	0.8	0.76	0.78	0.75	0.9	0.74	0.71	0.74	0.96	0.7
Recall_SVC	0.95	0.81	0.72	0.86	0.51	0.69	0.78	0.68	0.72	0.83	0.64	0.76	0.74	0.83	0.68	0.68	0.78	0.75	0.83	0.7	0.88	0.71	0.69	0.73	0.95	0.7
MCC_SVC	0.91	0.59	0.43	0.71	0.04	0.38	0.46	0.35	0.44	0.68	0.31	0.55	0.49	0.52	0.36	0.36	0.58	0.51	0.52	0.44	0.77	0.45	0.4	0.48	0.91	0.4
Acc_RFC	0.95	0.83	0.72	0.82	0.63	0.68	0.78	0.74	0.79	0.88	0.76	0.87	0.83	0.93	0.75	0.83	0.74	0.84	1.0	0.71	0.85	0.77	0.71	0.73	0.94	0.66
F1_RFC	0.95	0.83	0.72	0.82	0.6	0.68	0.76	0.74	0.78	0.88	0.76	0.87	0.83	0.91	0.75	0.83	0.73	0.83	1.0	0.71	0.85	0.77	0.71	0.72	0.94	0.66
Prec_RFC	0.96	0.83	0.74	0.86	0.68	0.69	0.79	0.75	0.8	0.91	0.8	0.88	0.84	0.89	0.77	0.85	0.78	0.84	1.0	0.73	0.9	0.78	0.72	0.77	0.95	0.66
Recall_RFC	0.95	0.83	0.72	0.82	0.63	0.68	0.78	0.74	0.79	0.88	0.76	0.87	0.83	0.93	0.75	0.83	0.74	0.84	1.0	0.71	0.85	0.77	0.71	0.73	0.94	0.66
MCC_RFC	0.91	0.64	0.46	0.68	0.3	0.37	0.46	0.49	0.57	0.79	0.57	0.75	0.66	0.8	0.52	0.68	0.51	0.68	1.0	0.44	0.74	0.54	0.43	0.49	0.89	0.33
Acc_HDC	0.98	0.87	0.67	0.9	0.69	0.69	0.83	0.75	0.65	0.92	0.8	0.87	0.85	0.97	0.72	0.76	0.85	0.8	0.97	0.76	0.9	0.72	0.75	0.69	0.96	0.68
F1_HDC	0.98	0.87	0.66	0.89	0.69	0.69	0.83	0.74	0.65	0.92	0.8	0.87	0.85	0.96	0.72	0.76	0.84	0.8	0.96	0.76	0.9	0.71	0.75	0.68	0.96	0.68
Prec_HDC	0.98	0.87	0.67	0.92	0.7	0.69	0.84	0.75	0.65	0.92	0.83	0.87	0.86	0.97	0.73	0.76	0.86	0.81	0.97	0.76	0.91	0.74	0.76	0.7	0.96	0.69
Recall_HDC	0.98	0.87	0.67	0.9	0.69	0.69	0.83	0.75	0.65	0.92	0.8	0.87	0.85	0.97	0.72	0.76	0.85	0.8	0.97	0.76	0.9	0.72	0.75	0.69	0.96	0.68
MCC_HDC	0.96	0.73	0.33	0.81	0.39	0.38	0.6	0.49	0.28	0.84	0.63	0.75	0.71	0.93	0.44	0.52	0.71	0.61	0.93	0.52	0.81	0.44	0.51	0.38	0.91	0.37
