name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
WampachL_2018	0.93	0.93	0.95	0.93	0.88	0.91	0.91	0.92	0.91	0.82	0.82	0.79	0.79	0.82	0.57	0.91	0.91	0.92	0.91	0.82	0.89	0.89	0.91	0.89	0.78
ThomasAM_2018a	0.68	0.67	0.73	0.68	0.41	0.68	0.66	0.76	0.68	0.43	0.59	0.58	0.58	0.59	0.13	0.70	0.68	0.77	0.70	0.46	0.81	0.81	0.82	0.81	0.63
VatanenT_2016	0.80	0.80	0.81	0.80	0.59	0.80	0.80	0.80	0.80	0.57	0.81	0.81	0.81	0.81	0.60	0.85	0.85	0.85	0.85	0.68	0.85	0.85	0.85	0.85	0.69
FerrettiP_2018	0.88	0.88	0.88	0.88	0.75	0.77	0.77	0.77	0.77	0.51	0.82	0.82	0.84	0.82	0.64	0.84	0.83	0.86	0.84	0.67	0.91	0.91	0.92	0.91	0.82
YuJ_2015	0.49	0.47	0.47	0.49	-0.13	0.63	0.49	0.40	0.63	0.00	0.66	0.63	0.69	0.66	0.27	0.63	0.49	0.40	0.63	0.00	0.67	0.67	0.67	0.67	0.30
ZellerG_2014	0.63	0.62	0.64	0.63	0.25	0.59	0.43	0.34	0.59	0.00	0.63	0.62	0.63	0.63	0.22	0.59	0.43	0.34	0.59	0.00	0.66	0.65	0.66	0.66	0.30
VogtmannE_2016	0.78	0.77	0.80	0.78	0.55	0.62	0.48	0.39	0.62	0.00	0.70	0.69	0.74	0.70	0.39	0.66	0.63	0.68	0.66	0.25	0.80	0.80	0.80	0.80	0.57
LeeKA_2022	0.65	0.64	0.66	0.65	0.30	0.62	0.61	0.63	0.62	0.24	0.61	0.59	0.66	0.61	0.26	0.61	0.60	0.62	0.61	0.23	0.64	0.64	0.65	0.64	0.28
YachidaS_2019	0.63	0.62	0.63	0.63	0.24	0.68	0.67	0.69	0.68	0.35	0.67	0.66	0.67	0.67	0.31	0.69	0.69	0.69	0.69	0.37	0.68	0.67	0.68	0.68	0.34
DavidLA_2015	0.66	0.63	0.72	0.66	0.31	0.70	0.65	0.65	0.70	0.25	0.73	0.70	0.70	0.73	0.27	0.69	0.56	0.47	0.69	0.00	0.77	0.77	0.79	0.77	0.50
FengQ_2015	0.64	0.63	0.65	0.64	0.25	0.69	0.65	0.74	0.69	0.35	0.54	0.54	0.57	0.54	0.09	0.69	0.67	0.70	0.69	0.34	0.64	0.63	0.64	0.64	0.24
ThomasAM_2019_c	0.68	0.65	0.71	0.68	0.36	0.68	0.67	0.69	0.68	0.36	0.70	0.68	0.74	0.70	0.42	0.75	0.75	0.75	0.75	0.50	0.72	0.72	0.73	0.72	0.44
YassourM_2018	0.97	0.97	0.98	0.97	0.95	0.97	0.97	0.97	0.97	0.95	0.95	0.95	0.95	0.95	0.90	0.97	0.97	0.98	0.97	0.95	0.98	0.98	0.98	0.98	0.96
YachidaS_2019	0.60	0.59	0.59	0.60	0.17	0.68	0.67	0.68	0.68	0.34	0.65	0.64	0.65	0.65	0.27	0.68	0.68	0.68	0.68	0.35	0.68	0.68	0.69	0.68	0.36
