name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
IjazUZ_2017	0.94	0.94	0.95	0.94	0.88	0.83	0.83	0.85	0.83	0.67	0.95	0.95	0.96	0.95	0.91	0.95	0.95	0.96	0.95	0.91	0.98	0.98	0.98	0.98	0.96
NielsenHB_2014	0.79	0.79	0.79	0.79	0.55	0.73	0.73	0.73	0.73	0.43	0.81	0.80	0.81	0.81	0.59	0.83	0.83	0.83	0.83	0.64	0.87	0.87	0.87	0.87	0.73
ZhuF_2020	0.61	0.60	0.61	0.61	0.22	0.60	0.59	0.60	0.60	0.20	0.72	0.71	0.72	0.72	0.43	0.72	0.72	0.74	0.72	0.46	0.67	0.66	0.67	0.67	0.33
ShiB_2015	0.91	0.91	0.93	0.91	0.84	0.82	0.81	0.87	0.82	0.68	0.86	0.86	0.86	0.86	0.71	0.82	0.82	0.86	0.82	0.68	0.90	0.89	0.92	0.90	0.81
VogtmannE_2016	0.56	0.55	0.56	0.56	0.13	0.53	0.49	0.52	0.53	0.05	0.51	0.50	0.53	0.51	0.04	0.63	0.60	0.68	0.63	0.30	0.69	0.69	0.70	0.69	0.39
QinJ_2012	0.65	0.65	0.65	0.65	0.31	0.60	0.59	0.60	0.60	0.20	0.69	0.69	0.69	0.69	0.38	0.68	0.68	0.69	0.68	0.37	0.69	0.69	0.69	0.69	0.38
YeZ_2018	0.71	0.66	0.67	0.71	0.27	0.87	0.85	0.90	0.87	0.71	0.78	0.76	0.79	0.78	0.46	0.78	0.76	0.79	0.78	0.46	0.83	0.83	0.84	0.83	0.60
JieZ_2017	0.66	0.66	0.66	0.66	0.31	0.67	0.67	0.67	0.67	0.33	0.68	0.68	0.68	0.68	0.35	0.74	0.74	0.75	0.74	0.49	0.75	0.74	0.75	0.75	0.49
YuJ_2015	0.70	0.70	0.71	0.70	0.40	0.69	0.68	0.74	0.69	0.42	0.72	0.72	0.73	0.72	0.44	0.79	0.78	0.80	0.79	0.57	0.65	0.65	0.65	0.65	0.28
GuptaA_2019	0.90	0.90	0.91	0.90	0.81	0.78	0.78	0.81	0.78	0.59	0.83	0.83	0.85	0.83	0.68	0.88	0.88	0.91	0.88	0.79	0.92	0.92	0.92	0.92	0.84
ThomasAM_2018b	0.84	0.83	0.88	0.84	0.72	0.74	0.72	0.84	0.74	0.58	0.64	0.63	0.67	0.64	0.31	0.76	0.76	0.80	0.76	0.57	0.80	0.80	0.83	0.80	0.63
QinN_2014	0.75	0.75	0.77	0.75	0.52	0.83	0.83	0.85	0.83	0.68	0.76	0.76	0.79	0.76	0.55	0.87	0.87	0.88	0.87	0.75	0.87	0.87	0.87	0.87	0.75
